"X","Y"
1638007.07156546,7116658.29788512
1648007.07156546,7116658.29788512
1658007.07156546,7116658.29788512
1668007.07156546,7116658.29788512
1678007.07156546,7116658.29788512
1688007.07156546,7116658.29788512
1698007.07156546,7116658.29788512
1708007.07156546,7116658.29788512
1718007.07156546,7116658.29788512
1728007.07156546,7116658.29788512
1738007.07156546,7116658.29788512
1748007.07156546,7116658.29788512
1758007.07156546,7116658.29788512
1768007.07156546,7116658.29788512
1777003.91141982,7118128.47221111
1788187.37065146,7117134.18013444
1798230.69466742,7118743.38010927
1807570.24955213,7115584.50694172
1816259.68342349,7118827.59806792
1472260.87417716,7129659.3355187
1478524.95514865,7127358.35243419
1488007.07156546,7126658.29788512
1498007.07156546,7126658.29788512
1508007.07156546,7126658.29788512
1518007.07156546,7126658.29788512
1528007.07156546,7126658.29788512
1538007.07156546,7126658.29788512
1548007.07156546,7126658.29788512
1558007.07156546,7126658.29788512
1568007.07156546,7126658.29788512
1578007.07156546,7126658.29788512
1588007.07156546,7126658.29788512
1598007.07156546,7126658.29788512
1608007.07156546,7126658.29788512
1618007.07156546,7126658.29788512
1628007.07156546,7126658.29788512
1638007.07156546,7126658.29788512
1648007.07156546,7126658.29788512
1658007.07156546,7126658.29788512
1668007.07156546,7126658.29788512
1678007.07156546,7126658.29788512
1688007.07156546,7126658.29788512
1698007.07156546,7126658.29788512
1708007.07156546,7126658.29788512
1718007.07156546,7126658.29788512
1728007.07156546,7126658.29788512
1738007.07156546,7126658.29788512
1748007.07156546,7126658.29788512
1758007.07156546,7126658.29788512
1768007.07156546,7126658.29788512
1778007.07156546,7126658.29788512
1787798.19562465,7126903.29105241
1797507.09249552,7126805.30630662
1807594.58645289,7127012.42844331
1817037.68209374,7124893.32986959
1827922.35028011,7127657.69547979
1833936.47546671,7131004.73447344
1470719.24605961,7138059.91006482
1478007.07156546,7136658.29788512
1488007.07156546,7136658.29788512
1498007.07156546,7136658.29788512
1508007.07156546,7136658.29788512
1518007.07156546,7136658.29788512
1528007.07156546,7136658.29788512
1538007.07156546,7136658.29788512
1548007.07156546,7136658.29788512
1558007.07156546,7136658.29788512
1568007.07156546,7136658.29788512
1578007.07156546,7136658.29788512
1588007.07156546,7136658.29788512
1598007.07156546,7136658.29788512
1608007.07156546,7136658.29788512
1618007.07156546,7136658.29788512
1628007.07156546,7136658.29788512
1638007.07156546,7136658.29788512
1648007.07156546,7136658.29788512
1658007.07156546,7136658.29788512
1668007.07156546,7136658.29788512
1678007.07156546,7136658.29788512
1688007.07156546,7136658.29788512
1698007.07156546,7136658.29788512
1708007.07156546,7136658.29788512
1718007.07156546,7136658.29788512
1728007.07156546,7136658.29788512
1738007.07156546,7136658.29788512
1748007.07156546,7136658.29788512
1758007.07156546,7136658.29788512
1768007.07156546,7136658.29788512
1778007.07156546,7136658.29788512
1788007.07156546,7136658.29788512
1797994.13560152,7136672.82696875
1807991.88007307,7136664.06618623
1813695.83453945,7137519.63094861
1828520.01083411,7139077.35036536
1837961.23261518,7135544.40198231
1846309.59037905,7139181.44325123
1469432.92370627,7146898.23944685
1478007.07156546,7146658.29788512
1488007.07156546,7146658.29788512
1498007.07156546,7146658.29788512
1508007.07156546,7146658.29788512
1518007.07156546,7146658.29788512
1528007.07156546,7146658.29788512
1538007.07156546,7146658.29788512
1548007.07156546,7146658.29788512
1558007.07156546,7146658.29788512
1568007.07156546,7146658.29788512
1578007.07156546,7146658.29788512
1588007.07156546,7146658.29788512
1598007.07156546,7146658.29788512
1608007.07156546,7146658.29788512
1618007.07156546,7146658.29788512
1628007.07156546,7146658.29788512
1638007.07156546,7146658.29788512
1648007.07156546,7146658.29788512
1658007.07156546,7146658.29788512
1668007.07156546,7146658.29788512
1678007.07156546,7146658.29788512
1688007.07156546,7146658.29788512
1698007.07156546,7146658.29788512
1708007.07156546,7146658.29788512
1718007.07156546,7146658.29788512
1728007.07156546,7146658.29788512
1738007.07156546,7146658.29788512
1748007.07156546,7146658.29788512
1758007.07156546,7146658.29788512
1768007.07156546,7146658.29788512
1778007.07156546,7146658.29788512
1788007.07156546,7146658.29788512
1798007.07156546,7146658.29788512
1807147.69949872,7146460.4204457
1818117.75538999,7149219.07129926
1828028.03155036,7146669.32257253
1837413.62295387,7147748.83309539
1849089.70471403,7147511.50352938
1855252.65220002,7149630.65198413
1461748.57745488,7158706.2239984
1468368.82736876,7157065.09334448
1478007.07156546,7156658.29788512
1488007.07156546,7156658.29788512
1498007.07156546,7156658.29788512
1508007.07156546,7156658.29788512
1518007.07156546,7156658.29788512
1528007.07156546,7156658.29788512
1538007.07156546,7156658.29788512
1548007.07156546,7156658.29788512
1558007.07156546,7156658.29788512
1568007.07156546,7156658.29788512
1578007.07156546,7156658.29788512
1588007.07156546,7156658.29788512
1598007.07156546,7156658.29788512
1608007.07156546,7156658.29788512
1618007.07156546,7156658.29788512
1628007.07156546,7156658.29788512
1638007.07156546,7156658.29788512
1648007.07156546,7156658.29788512
1658007.07156546,7156658.29788512
1668007.07156546,7156658.29788512
1678007.07156546,7156658.29788512
1688007.07156546,7156658.29788512
1698007.07156546,7156658.29788512
1708007.07156546,7156658.29788512
1718007.07156546,7156658.29788512
1728007.07156546,7156658.29788512
1738007.07156546,7156658.29788512
1748007.07156546,7156658.29788512
1758007.07156546,7156658.29788512
1768007.07156546,7156658.29788512
1778007.07156546,7156658.29788512
1788007.07156546,7156658.29788512
1798007.07156546,7156658.29788512
1807797.25533961,7156785.75831611
1818164.24638938,7156801.40248615
1828007.07156546,7156658.29788512
1838007.07156546,7156658.29788512
1848007.07156546,7156658.29788512
1857884.52058717,7156782.47714735
1866643.69824293,7159114.86833306
1873522.44764932,7161358.00664697
1452228.3092214,7171352.28878389
1459413.40987639,7167808.17269964
1468007.07156546,7166658.29788512
1478007.07156546,7166658.29788512
1488007.07156546,7166658.29788512
1498007.07156546,7166658.29788512
1508007.07156546,7166658.29788512
1518007.07156546,7166658.29788512
1528007.07156546,7166658.29788512
1538007.07156546,7166658.29788512
1548007.07156546,7166658.29788512
1558007.07156546,7166658.29788512
1568007.07156546,7166658.29788512
1578007.07156546,7166658.29788512
1588007.07156546,7166658.29788512
1598007.07156546,7166658.29788512
1608007.07156546,7166658.29788512
1618007.07156546,7166658.29788512
1628007.07156546,7166658.29788512
1638007.07156546,7166658.29788512
1648007.07156546,7166658.29788512
1658007.07156546,7166658.29788512
1668007.07156546,7166658.29788512
1678007.07156546,7166658.29788512
1688007.07156546,7166658.29788512
1698007.07156546,7166658.29788512
1708007.07156546,7166658.29788512
1718007.07156546,7166658.29788512
1728007.07156546,7166658.29788512
1738007.07156546,7166658.29788512
1748007.07156546,7166658.29788512
1758007.07156546,7166658.29788512
1768007.07156546,7166658.29788512
1778007.07156546,7166658.29788512
1788007.07156546,7166658.29788512
1798007.07156546,7166658.29788512
1808007.07156546,7166658.29788512
1818007.07156546,7166658.29788512
1828007.07156546,7166658.29788512
1838007.07156546,7166658.29788512
1848007.07156546,7166658.29788512
1858007.07156546,7166658.29788512
1868007.07156546,7166658.29788512
1877450.27474421,7167529.76453045
1886469.3492577,7169937.46671165
1893211.44241975,7171551.33155016
1451668.07276728,7176894.24063341
1458007.07156546,7176658.29788512
1468007.07156546,7176658.29788512
1478007.07156546,7176658.29788512
1488007.07156546,7176658.29788512
1498007.07156546,7176658.29788512
1508007.07156546,7176658.29788512
1518007.07156546,7176658.29788512
1528007.07156546,7176658.29788512
1538007.07156546,7176658.29788512
1548007.07156546,7176658.29788512
1558007.07156546,7176658.29788512
1568007.07156546,7176658.29788512
1578007.07156546,7176658.29788512
1588007.07156546,7176658.29788512
1598007.07156546,7176658.29788512
1608007.07156546,7176658.29788512
1618007.07156546,7176658.29788512
1628007.07156546,7176658.29788512
1638007.07156546,7176658.29788512
1648007.07156546,7176658.29788512
1658007.07156546,7176658.29788512
